stage_b_order	accession	artifact_role	relative_path	bytes	sha256	row_sha256
5	GCF_015644385.1	source_package	source_objects/GCF_015644385.1/package.zip	2046069	3823adf6dd082e687df2234ae61666fb3659b30bc4367449405fc9f3faccbe34	c05c76263b21c7133ef4cfdb54c2d19466a385e012cae88fba050cf33d2d72c2
5	GCF_015644385.1	source_manifest	source_objects/GCF_015644385.1/manifest.json	3831	2a51bc460d0434f420406af39b0a90c962cdbf3b38fc4f9164838e1490787487	507cac536d123d6ab0d62fd4be03592c553fb48d8eb0b466bb01219f006a1726
5	GCF_015644385.1	canonical_bgzf	canonical_objects/GCF_015644385.1/GCF_015644385.1.pansn.fa.gz	1465307	eda00ad6203fb814d8ad6f7d58cc2c8da9215b061ac67c47b8aaebdadb906572	b5542ca10fbcc7a92fec890f4a72f7fc9b624dbcf63727d31d9ff5736397e87b
5	GCF_015644385.1	fai	canonical_objects/GCF_015644385.1/GCF_015644385.1.pansn.fa.gz.fai	7985	002694446fd5214a6bac64b6cc649ba97d6abd84f161c4fdc1cd272c2341a707	c02a4ec1039a2bcd798c9808ac7ccf5b05a2c4ea2ccbfa7271f58a9db5a02099
5	GCF_015644385.1	gzi	canonical_objects/GCF_015644385.1/GCF_015644385.1.pansn.fa.gz.gzi	1272	b98a83646b1741741f9e0842058f8ea5abbf5ad3344947b44a1785bbaa02d4f5	a8fe260545c2964de16a6ffb557a98e5b993ac6dc35547c4c98bc2385bd747ec
5	GCF_015644385.1	contig_crosswalk	canonical_objects/GCF_015644385.1/contigs.tsv	106675	3c8ea86dc6ba73814ea67a763b267085ed10623e070503bac37b23145a1e5bae	744109424b3f9958e059b3a1ab2b959c170c2f0ca91e5e3c24886e49efe144a3
5	GCF_015644385.1	annotation_aliases	canonical_objects/GCF_015644385.1/annotation_aliases.tsv	50033	32c0051b878d10613d0fc77191b25889a4fbbd4f5a496af59bdbb426bc375922	888ab60cbe5bf2be3b0309f9bb5297a500771327a04559e0b6077480a131db47
5	GCF_015644385.1	canonical_manifest	canonical_objects/GCF_015644385.1/manifest.json	2350	9328ab8864f745b0b9a34449a8d0b18da0818e33c5674f7a7183d313f0817a56	441824b72a1664200f80f41ca0b8d07e9548cd27e24d1f215923305f1b87ca67
6	GCF_020829045.1	source_package	source_objects/GCF_020829045.1/package.zip	2027488	63721e1a18238618110fd4972b7c244e158efb7bfc5c7811cc2223384f8b8780	4ad2fe667db31a3da37e4eca61f105d99562b77337f1c5086f8cdba167e2f951
6	GCF_020829045.1	source_manifest	source_objects/GCF_020829045.1/manifest.json	3831	6c47e6417d02e095042fc6b8156d126014e3a0032a529fff28d2329c02003031	5b9d3c36963ef8a4c3ab6d28f97caa8247cb0188d25194d18a5aaa7c3fa2f3fb
