scope	dimension	category	count	denominator	fraction	unit	denominator_label	notes
taxonomy_assigned	taxonomy_assignment	assigned	115442	115442	1	records	taxonomy_assigned source records	Unknown is treated as unassigned only for the competing subset
taxonomy_assigned	scaffold_accession_prefix	NZ_	115040	115442	0.9965177318	records	taxonomy_assigned source records	identifier prefix only; not a chromosome/plasmid classification
taxonomy_assigned	scaffold_accession_prefix	NC_	402	115442	0.003482268152	records	taxonomy_assigned source records	identifier prefix only; not a chromosome/plasmid classification
taxonomy_assigned	coordinate_validity	valid_begin_ge_1_end_ge_begin	115442	115442	1	records	taxonomy_assigned source records	record-level
taxonomy_assigned	length_qc_class	1000_to_200000_bp_inclusive	115321	115442	0.9989518546	unique loci	valid unique loci	diagnostic bins, not biological quality classes
taxonomy_assigned	length_qc_class	long_gt_200000_bp	1	115442	8.662358587e-06	unique loci	valid unique loci	diagnostic bins, not biological quality classes
taxonomy_assigned	length_qc_class	short_lt_1000_bp	120	115442	0.00103948303	unique loci	valid unique loci	diagnostic bins, not biological quality classes
taxonomy_assigned	field_missingness	end	0	115442	0	missing records	taxonomy_assigned source records	empty-string missingness
taxonomy_assigned	field_missingness	genome	0	115442	0	missing records	taxonomy_assigned source records	empty-string missingness
taxonomy_assigned	field_missingness	scaffold	0	115442	0	missing records	taxonomy_assigned source records	empty-string missingness
taxonomy_assigned	field_missingness	begin	0	115442	0	missing records	taxonomy_assigned source records	empty-string missingness
taxonomy_assigned	field_missingness	transposable	0	115442	0	missing records	taxonomy_assigned source records	empty-string missingness
taxonomy_assigned	field_missingness	taxonomy	0	115442	0	missing records	taxonomy_assigned source records	empty-string missingness
taxonomy_assigned	field_missingness	prophage_id	0	115442	0	missing records	taxonomy_assigned source records	empty-string missingness
taxonomy_assigned	per_genome_locus_count_class	multiple	24116	26077	0.9247996319	genomes	normalized denominator genomes	unique loci; zero genomes included
taxonomy_assigned	per_genome_locus_count_class	one	1790	26077	0.06864286536	genomes	normalized denominator genomes	unique loci; zero genomes included
taxonomy_assigned	per_genome_locus_count_class	zero	171	26077	0.00655750278	genomes	normalized denominator genomes	unique loci; zero genomes included
taxonomy_assigned	per_genome_hit_scaffold_count	0	171	26077	0.00655750278	genomes	normalized denominator genomes	exact original scaffold keys; zero genomes included
taxonomy_assigned	per_genome_hit_scaffold_count	1	4128	26077	0.158300418	genomes	normalized denominator genomes	exact original scaffold keys; zero genomes included
taxonomy_assigned	per_genome_hit_scaffold_count	2	4450	26077	0.1706484642	genomes	normalized denominator genomes	exact original scaffold keys; zero genomes included
taxonomy_assigned	per_genome_hit_scaffold_count	3	5029	26077	0.1928519385	genomes	normalized denominator genomes	exact original scaffold keys; zero genomes included
taxonomy_assigned	per_genome_hit_scaffold_count	4	4538	26077	0.1740230855	genomes	normalized denominator genomes	exact original scaffold keys; zero genomes included
taxonomy_assigned	per_genome_hit_scaffold_count	5	3438	26077	0.1318403191	genomes	normalized denominator genomes	exact original scaffold keys; zero genomes included
taxonomy_assigned	per_genome_hit_scaffold_count	6	2162	26077	0.08290831	genomes	normalized denominator genomes	exact original scaffold keys; zero genomes included
taxonomy_assigned	per_genome_hit_scaffold_count	7	1134	26077	0.04348659738	genomes	normalized denominator genomes	exact original scaffold keys; zero genomes included
taxonomy_assigned	per_genome_hit_scaffold_count	8	565	26077	0.02166660275	genomes	normalized denominator genomes	exact original scaffold keys; zero genomes included
taxonomy_assigned	per_genome_hit_scaffold_count	9	267	26077	0.01023890785	genomes	normalized denominator genomes	exact original scaffold keys; zero genomes included
taxonomy_assigned	per_genome_hit_scaffold_count	10	121	26077	0.004640104306	genomes	normalized denominator genomes	exact original scaffold keys; zero genomes included
taxonomy_assigned	per_genome_hit_scaffold_count	11	39	26077	0.00149557081	genomes	normalized denominator genomes	exact original scaffold keys; zero genomes included
taxonomy_assigned	per_genome_hit_scaffold_count	12	18	26077	0.0006902634506	genomes	normalized denominator genomes	exact original scaffold keys; zero genomes included
taxonomy_assigned	per_genome_hit_scaffold_count	13	9	26077	0.0003451317253	genomes	normalized denominator genomes	exact original scaffold keys; zero genomes included
taxonomy_assigned	per_genome_hit_scaffold_count	14	3	26077	0.0001150439084	genomes	normalized denominator genomes	exact original scaffold keys; zero genomes included
taxonomy_assigned	per_genome_hit_scaffold_count	16	4	26077	0.0001533918779	genomes	normalized denominator genomes	exact original scaffold keys; zero genomes included
taxonomy_assigned	per_genome_hit_scaffold_count	18	1	26077	3.834796948e-05	genomes	normalized denominator genomes	exact original scaffold keys; zero genomes included
all	records_per_original_scaffold_key	1	95516	105793	0.9028574669	scaffold keys	unique exact original scaffold keys	number of source records sharing the key
all	records_per_original_scaffold_key	2-4	8034	105793	0.07594075222	scaffold keys	unique exact original scaffold keys	number of source records sharing the key
all	records_per_original_scaffold_key	5-9	1731	105793	0.01636214116	scaffold keys	unique exact original scaffold keys	number of source records sharing the key
all	records_per_original_scaffold_key	10+	512	105793	0.004839639674	scaffold keys	unique exact original scaffold keys	number of source records sharing the key
denominator	invalid_accession_token	genome	1	26078	3.834649896e-05	tokens	nonblank accession lines	source line 26078
