scope	metric	value	unit	denominator	denominator_label	fraction	notes
all	per_genome_hit_scaffold_count_population_sd	2.217048935	scaffolds/genome	26077	normalized denominator genomes (zeros included)		
all	unique_locus_length_1based_closed_min	261	bp/locus	132404	valid unique loci		
all	unique_locus_length_1based_closed_p01	1601.06	bp/locus	132404	valid unique loci		
all	unique_locus_length_1based_closed_p05	4434	bp/locus	132404	valid unique loci		
all	unique_locus_length_1based_closed_p25	11907	bp/locus	132404	valid unique loci		
all	unique_locus_length_1based_closed_median	21817.5	bp/locus	132404	valid unique loci		
all	unique_locus_length_1based_closed_p75	35173.25	bp/locus	132404	valid unique loci		
all	unique_locus_length_1based_closed_p95	47813	bp/locus	132404	valid unique loci		
all	unique_locus_length_1based_closed_p99	86044.82	bp/locus	132404	valid unique loci		
all	unique_locus_length_1based_closed_max	222284	bp/locus	132404	valid unique loci		
all	unique_locus_length_1based_closed_mean	24639.18936	bp/locus	132404	valid unique loci		
all	unique_locus_length_1based_closed_population_sd	15945.23887	bp/locus	132404	valid unique loci		
all	unique_locus_span_end_minus_begin_min	260	bp/locus	132404	valid unique loci		
all	unique_locus_span_end_minus_begin_p01	1600.06	bp/locus	132404	valid unique loci		
all	unique_locus_span_end_minus_begin_p05	4433	bp/locus	132404	valid unique loci		
all	unique_locus_span_end_minus_begin_p25	11906	bp/locus	132404	valid unique loci		
all	unique_locus_span_end_minus_begin_median	21816.5	bp/locus	132404	valid unique loci		
all	unique_locus_span_end_minus_begin_p75	35172.25	bp/locus	132404	valid unique loci		
all	unique_locus_span_end_minus_begin_p95	47812	bp/locus	132404	valid unique loci		
all	unique_locus_span_end_minus_begin_p99	86043.82	bp/locus	132404	valid unique loci		
all	unique_locus_span_end_minus_begin_max	222283	bp/locus	132404	valid unique loci		
all	unique_locus_span_end_minus_begin_mean	24638.18936	bp/locus	132404	valid unique loci		
all	unique_locus_span_end_minus_begin_population_sd	15945.23887	bp/locus	132404	valid unique loci		
all	overlap_pairs	0	locus pairs	132404	valid unique loci		
all	overlap_participating_loci	0	loci	132404	valid unique loci	0	
all	pairwise_overlap_bp	0	bp	0	overlapping locus pairs		
all	one_bp_overlap_pairs	0	locus pairs	0	overlapping locus pairs		
all	nested_pairs	0	locus pairs	132404	valid unique loci		
all	nested_participating_loci	0	loci	132404	valid unique loci	0	
all	begin_le_3	12279	loci	132404	valid unique loci	0.09273889006	diagnostic threshold; not proof of artifact
all	length_lt_1000_bp	817	loci	132404	valid unique loci	0.006170508444	diagnostic threshold; not proof of artifact
all	length_gt_200000_bp	1	loci	132404	valid unique loci	7.552641914e-06	diagnostic threshold; not proof of artifact
transposable_flag_positive	source_records	7695	records	132404	all normalized records	0.05811757953	
transposable_flag_positive	unique_loci	7695	loci	7695	transposable_flag_positive source records	1	
transposable_flag_positive	valid_coordinate_unique_loci	7695	loci	7695	transposable_flag_positive unique loci	1	
transposable_flag_positive	total_bp_1based_closed	230813644	bp	7695	valid unique loci		sum(end-begin+1)
transposable_flag_positive	total_bp_end_minus_begin	230805949	bp	7695	valid unique loci		coordinate-convention sensitivity sum(end-begin)
transposable_flag_positive	genomes_zero_loci	20435	genomes	26077	normalized denominator genomes	0.7836407562	
transposable_flag_positive	genomes_one_locus	4446	genomes	26077	normalized denominator genomes	0.1704950723	
