cohort_order	accession	artifact_role	storage_release_id	storage_root	relative_path	bytes	sha256	reuse_status	row_sha256
23	GCF_005885955.1	canonical_manifest	SELF	.	canonical_objects/GCF_005885955.1/manifest.json	2427	9dca33ae5d7a8db10012fb37720869ab8e9b76d2804c757ceb3bc13820a0d9e5	CREATED_OR_CHECKSUM_RESUMED	25e36e7f5b4f85416b22472cea9f080f1cc61c2e313a008c9f811d2bcb59661b
24	GCF_002513075.1	source_package	SELF	.	source_objects/GCF_002513075.1/package.zip	1954481	d17545af44da843f9ea632de75d8a572bce43d32a7dd6537ecd17383f1a4cc3f	CREATED_OR_CHECKSUM_RESUMED	77d46549d1dffc75a0c50a315cc313146770e9037924c7c0d70444e050173442
24	GCF_002513075.1	source_manifest	SELF	.	source_objects/GCF_002513075.1/manifest.json	3830	15e66b2e3af9e66a080a888dd55da25fd156fa314558899abc307d98b730b9f8	CREATED_OR_CHECKSUM_RESUMED	8e9b096ef7a3af17eb8c3bc9837a7ae0d531f89cb5c810c1c815ffe858ebfbf1
24	GCF_002513075.1	canonical_bgzf	SELF	.	canonical_objects/GCF_002513075.1/GCF_002513075.1.pansn.fa.gz	1414484	c6237ccafaf69d0207916fa1ab7f4a9646b03ac5dcd72dcfbbc9709879e26e67	CREATED_OR_CHECKSUM_RESUMED	bcf65bda0b6d878a58fb7771134a694909a49080f43ca66d65f1f3c0ee0998e5
24	GCF_002513075.1	fai	SELF	.	canonical_objects/GCF_002513075.1/GCF_002513075.1.pansn.fa.gz.fai	6435	410d19bc96e1d58911b92dba59ded36836f6db5fae016bee55cb73b23fb66673	CREATED_OR_CHECKSUM_RESUMED	147a8061b23697bf7efa2b0d4ffe7b09326f477c6fce98318f334e22866a8a8e
24	GCF_002513075.1	gzi	SELF	.	canonical_objects/GCF_002513075.1/GCF_002513075.1.pansn.fa.gz.gzi	1240	c2e08e719cf07ef405ba3c78c9846ce28aedb9afd427919296708d62841e0dda	CREATED_OR_CHECKSUM_RESUMED	81fb987acbe30a2c892e44cb2f9bf2599820b68cb6e5e84b77461c390fe44e9c
24	GCF_002513075.1	contig_crosswalk	SELF	.	canonical_objects/GCF_002513075.1/contigs.tsv	89283	ec5d424e2ea6630f6c61f8f821021fd38b5b3e9eeeb61609f3c07f61c25b5a03	CREATED_OR_CHECKSUM_RESUMED	2e23559b126f6564ebbf8c6eb6850225dbc6020ddde44e4e2873dd6f3fe584bf
24	GCF_002513075.1	annotation_aliases	SELF	.	canonical_objects/GCF_002513075.1/annotation_aliases.tsv	39678	0eaabcadcb4a970f5d382a465102da539c2e32d7a910c229d3ff8e2a080ab002	CREATED_OR_CHECKSUM_RESUMED	3355bb1daa58f1ee48ecc723653ac702470b9db5b2fda1e713f3cb9e591a1200
24	GCF_002513075.1	canonical_manifest	SELF	.	canonical_objects/GCF_002513075.1/manifest.json	2348	621c8ec32f7909474bc1b8a33f929e94aea78dd4747b8d5ce38281c2c5361cc1	CREATED_OR_CHECKSUM_RESUMED	080fedf236efd80cf7c6b40ded8fc87d078853f9cfaa997063460069ee298aa5
25	GCF_902810185.1	source_package	SELF	.	source_objects/GCF_902810185.1/package.zip	1944487	7eeaa27e09d97cf45b6218f4911b79917eaa69d9c223208ece68a27ea7f5efac	CREATED_OR_CHECKSUM_RESUMED	6acf8bbf79f309cb970e85d8aef59159842d973cb603883e232156caadc480d6
25	GCF_902810185.1	source_manifest	SELF	.	source_objects/GCF_902810185.1/manifest.json	3824	9f89457c43f00e1ad4cfc964a802a8733a202d821882210685f64bebac6a2a03	CREATED_OR_CHECKSUM_RESUMED	c57cd52277885be17c788b41ce77ff89a3da40b43a5b06b8ad3f5b39b9d17e0e
25	GCF_902810185.1	canonical_bgzf	SELF	.	canonical_objects/GCF_902810185.1/GCF_902810185.1.pansn.fa.gz	1422749	f8dbe9973ba5dc441f827879af34b7652c6705c2f564a82ee4b60ebd19232abb	CREATED_OR_CHECKSUM_RESUMED	275cf36dfa5a7c20ca13b35c8a46440e8f15cd2e59f2739c1781f29c6f9e1326
25	GCF_902810185.1	fai	SELF	.	canonical_objects/GCF_902810185.1/GCF_902810185.1.pansn.fa.gz.fai	115	e3b4a8b14ad8bc14d3c614ebed3784f175b17cd96fa8be80f224179b06c725c5	CREATED_OR_CHECKSUM_RESUMED	b3f7159363795b03c811ad236973efc87e85d4554df736bfac132b083ac8a0c7
25	GCF_902810185.1	gzi	SELF	.	canonical_objects/GCF_902810185.1/GCF_902810185.1.pansn.fa.gz.gzi	1256	1f0b416c465d2d575b90b130881da4a2553e0323347bb5dc35432d23d1df5263	CREATED_OR_CHECKSUM_RESUMED	943ae284b872f3b9e6f454519a54852f6826d84e10e49e554c1c0c5a2b155a2a
25	GCF_902810185.1	contig_crosswalk	SELF	.	canonical_objects/GCF_902810185.1/contigs.tsv	1915	aac0bcffb5aa40b496cb9cd66943fbab8f2e4b668322e5411a4db3f7dcadbdce	CREATED_OR_CHECKSUM_RESUMED	84af9edddef9a2ca24bb0d5191c9552e8d0d796be2d54b4ce520764c0d80e5f1
25	GCF_902810185.1	annotation_aliases	SELF	.	canonical_objects/GCF_902810185.1/annotation_aliases.tsv	954	deeddff5089e4cf7443720b7f4d655a50959a287f57448e790c8cafc4b0d6371	CREATED_OR_CHECKSUM_RESUMED	4222f24e87e1ccc4b883ab72bf52bfda503b01b2f6bdf24f639503fc16562c77
25	GCF_902810185.1	canonical_manifest	SELF	.	canonical_objects/GCF_902810185.1/manifest.json	2337	aaf905f551da88e77c2ba65bd41960ca35b90a9ccd178e0afd95d58c46076acf	CREATED_OR_CHECKSUM_RESUMED	84dbe00fe357fc4647b05d0640311137303b5fb927c55e65548fafc0a9407161
26	GCF_005043025.1	source_package	SELF	.	source_objects/GCF_005043025.1/package.zip	2072094	bbbe187625cca1cb8915803b16e9b35afe69545fb8970e08e019036da094d887	CREATED_OR_CHECKSUM_RESUMED	6a722549caf020bb400f6caa38760be4745c3e2ec26f11f1baaee780556631bf
26	GCF_005043025.1	source_manifest	SELF	.	source_objects/GCF_005043025.1/manifest.json	3830	95d7ab033ef79d9e69c4c45bdb23a87b3516ed37b96feb1aa52a27074c8fc65f	CREATED_OR_CHECKSUM_RESUMED	ccff3c84172633184654509ed03d15f3f928d0a0cfebdd020b90d3a42f4324d7
26	GCF_005043025.1	canonical_bgzf	SELF	.	canonical_objects/GCF_005043025.1/GCF_005043025.1.pansn.fa.gz	1485348	b98522e432814ce264810feaa0c499557e25a0db094c715aece2c93a7d598267	CREATED_OR_CHECKSUM_RESUMED	49e0638717818f777bc1d7efef9d184b7f60a4b4ec88461b81a921bb47ba9149
26	GCF_005043025.1	fai	SELF	.	canonical_objects/GCF_005043025.1/GCF_005043025.1.pansn.fa.gz.fai	6661	77dda008de8fcb54a7425ea139a58b81fca744b6a96e1a672fc2707ae4858aa6	CREATED_OR_CHECKSUM_RESUMED	45fad1f5e1e6b78ea6f9b4a6991faa6dbcdfb9cb98f3eb2e2d9a06a63f627b0a
26	GCF_005043025.1	gzi	SELF	.	canonical_objects/GCF_005043025.1/GCF_005043025.1.pansn.fa.gz.gzi	1304	33314568f4803e1c34c6e7b23f901bcf5fa2d6943863103a047867d3c75c7ca9	CREATED_OR_CHECKSUM_RESUMED	65a204c82ce502e87bc42c353682218ae6239e382233d90c6c09d964123a075a
26	GCF_005043025.1	contig_crosswalk	SELF	.	canonical_objects/GCF_005043025.1/contigs.tsv	86415	ec8dc32d2a893dfdff9fedbc85381874205ae12bd805f8aaf324edf0a89d2bda	CREATED_OR_CHECKSUM_RESUMED	909791049856e52287a4593448fae950c38478d3c2ae6d4e8d950b4d17107ee1
26	GCF_005043025.1	annotation_aliases	SELF	.	canonical_objects/GCF_005043025.1/annotation_aliases.tsv	40692	194d61bbd06dc7ad40a1217f15eef8e8992e8a746a48e12c4cc9434ea2a9d39d	CREATED_OR_CHECKSUM_RESUMED	b23bb4cd3926abb8a1807faaadb18a3d401e27914cea802b7a3cd35bb8cd6061
26	GCF_005043025.1	canonical_manifest	SELF	.	canonical_objects/GCF_005043025.1/manifest.json	2349	36215b340290218f3c63ad0ad1d83bef45ae3edcf493f3665587ee6efd0da655	CREATED_OR_CHECKSUM_RESUMED	29d0ca3920ca1694d2197479fe0bbe8b1b073f50c37b240a30f900d309a42822
27	GCF_017595115.1	source_package	SELF	.	source_objects/GCF_017595115.1/package.zip	2097986	799a9ac7975f2cc6570d604c8d3cc39e4d8d72ec402e0bc2d7b9070bdef225a7	CREATED_OR_CHECKSUM_RESUMED	40dcfe566bc4e4fab1c90599ac985db6e74b7f4b91122ffd11a9495d91767ce5
27	GCF_017595115.1	source_manifest	SELF	.	source_objects/GCF_017595115.1/manifest.json	3831	243397e32fc1b8b4068c494708a897ce2a1c4c19b90cd5cbe5431a15fc7f6888	CREATED_OR_CHECKSUM_RESUMED	080745c3a368e0d3675afe148fe7304fd0ef67139d70ce784c71cdeaf1502dd7
27	GCF_017595115.1	canonical_bgzf	SELF	.	canonical_objects/GCF_017595115.1/GCF_017595115.1.pansn.fa.gz	1520908	28a94137304dad6b35dd108ea487afa4e5db67c00f05ff07ea11aff59ac2f56d	CREATED_OR_CHECKSUM_RESUMED	3b366ea62cde048fe1835899e335d66865cc807935299e60a297846c4c2abe5d
27	GCF_017595115.1	fai	SELF	.	canonical_objects/GCF_017595115.1/GCF_017595115.1.pansn.fa.gz.fai	16968	8ee559d3e4343f28b1542d8c7ae63cd949a5a0971bda3bbee2d81ad6dc4b40e4	CREATED_OR_CHECKSUM_RESUMED	e50aa0659d667d90ea0f18a8977c9fdd13795bf83c9171242f1f9e9da6a9d051
27	GCF_017595115.1	gzi	SELF	.	canonical_objects/GCF_017595115.1/GCF_017595115.1.pansn.fa.gz.gzi	1320	12338cfb7d0ea733404f309ac7e56a1d50f1d873dd00086ee7bf14d64e1042ec	CREATED_OR_CHECKSUM_RESUMED	5b42156be165d3e604f0c45fda4ac20cceda4730dc99f1371bebc733723c20fc
27	GCF_017595115.1	contig_crosswalk	SELF	.	canonical_objects/GCF_017595115.1/contigs.tsv	205154	2f57e4c49c9a66fe70a478e57a05167dfd0da343ad7497d46dfb86f271766329	CREATED_OR_CHECKSUM_RESUMED	9049c4cba4fd961204c69c5eb6ef8bcb7ceba356062f46ba220ebd81675f8f92
27	GCF_017595115.1	annotation_aliases	SELF	.	canonical_objects/GCF_017595115.1/annotation_aliases.tsv	105319	cb635fc6fcf92caa0be00995a1b51a046b75ae1468fc07908a8f42124228a4c3	CREATED_OR_CHECKSUM_RESUMED	71a0d12063fe88cbd3c30e66dc0df9c2595392c0adc65586596668b7a87a6c63
