cohort_order	accession	storage_release_id	storage_root	source_object_relpath	source_inventory_sha256	canonical_object_relpath	canonical_inventory_sha256	reuse_status	predecessor_digest_match	row_sha256
11	GCF_015548345.1	SELF	.	source_objects/GCF_015548345.1	a77c6005707758a690de82b21591f1f2c2ac8c6fcd9e00f09d41631d7e109377	canonical_objects/GCF_015548345.1	e820dd3b1e16f5977edf4c7a3be86f28cfa495fa5cf0a95344523302116cd447	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	07d11a0582c77814ff0b7462297c2ffc2b4dd38aa1886e49f5675a913748e5b8
12	GCF_019926545.1	SELF	.	source_objects/GCF_019926545.1	c0b69b5c56a2fd4e99c442febfc729506544a018ed22b5c3d6d9d3c9fa3da019	canonical_objects/GCF_019926545.1	13b465d8d913e4ff3d41b3bfc15fc3c538a8103ba5c29f17997503b84f4d48b3	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	9e50f48cbca2db75b621a0082145a97666f84f31f8a5eb40fe0f5053b8bacaa1
13	GCF_001614385.1	SELF	.	source_objects/GCF_001614385.1	38f29e1a7384c2537fd995d6ac4cc151450dc2f225762ed52a6d7c0782d0dbcc	canonical_objects/GCF_001614385.1	fd8c50c030b8481e1bec0bf62777aca599d3e1dfca112a36d3e8f66aee415a9c	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	0dc25cec1477081a63a73fa9c24afd8a57b4c846440cb3b298ff77c674a9490b
14	GCF_015551035.1	SELF	.	source_objects/GCF_015551035.1	75e05a9d64136872ba3c99d065c2fdf4451a008a3835ba6f63e02d1825a2f91b	canonical_objects/GCF_015551035.1	d6c38d9d9ab1d7133d17db11d3a166fc0d432fbb030496264964845a93889305	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	6b6687ff163993c8288d508be4f70fd04ac6093c63e5ecbfa1a59739bae7e0de
15	GCF_021354235.1	SELF	.	source_objects/GCF_021354235.1	1b236e7ba00e3849717d1a29b1cde05eeb7797b1f280d5be9fa78135fb79d3dc	canonical_objects/GCF_021354235.1	a770112519dc66ef6f5b54dc776bc5053671314a068e5c96646ae5fb4fd646cd	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	6d0d48c934b2a3f3341f210c04b1972f5159078cccc335456e15a3671366d758
16	GCF_002485085.1	SELF	.	source_objects/GCF_002485085.1	f07a6be815e2f1e2faef2d62dd24210fd29c410ba96db54e136b21afe8671c48	canonical_objects/GCF_002485085.1	c5818b1eae8140a830d05eb3ca3123eff69f6af984fef5b09456e17a4e298fca	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	e3389e24b179e13947d6c69502af1c2b6ab3b287cf70e1f58c740f8b243a4a79
17	GCF_014712315.1	SELF	.	source_objects/GCF_014712315.1	968e822b9035551ee23e9122c72cbaa97de4e0130806f7b26b507b0617c318c2	canonical_objects/GCF_014712315.1	7531e33eb0dc117119935fb2aff954df0b77ce36d729da40c8730703caaeb40e	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	3094263f4ce855e87657101ac9d3d0884e0b8d0ce01d0bbbb3155730617d5022
18	GCF_019120745.1	SELF	.	source_objects/GCF_019120745.1	a0be3b3a941cecacc051161ffa7b4155ffe740f8a591c25f4b91202e245d2b16	canonical_objects/GCF_019120745.1	03e56907db7aaec085aa0e65886ecf46813366c9ebc1abbc5bf5fc540171cb86	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	2d4b7a214d949578c83a4b8aeb1cb035e517a1b3b34ecad97819c317a6772b72
19	GCF_006350715.1	SELF	.	source_objects/GCF_006350715.1	5e66032f1287eb33d2ffcabb449f226142bde5e025e6d44756248bc87af5c9f8	canonical_objects/GCF_006350715.1	45fad596860f04737ba46f351a61492e715e20d4b54cb9c918819dbdc21f00ef	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	088cb8dcd8fb8d4dd6bc013cbab464e1ea441bd7bdad08f2f5f69d77b2be7d34
20	GCF_002522525.1	SELF	.	source_objects/GCF_002522525.1	83885a5159465c5d9408ef77427f4074f2e0d1de4aef2258ab046a781fd4b861	canonical_objects/GCF_002522525.1	828e9517d269bb18bfefc8fcfbdf43b60571c8343d9364bbf685550d98ec42a6	CREATED_OR_CHECKSUM_RESUMED	NOT_APPLICABLE_NEW_OBJECT	956e6651034ad9932bc80be54611f533e54ffddae113b19b6d9ee0cbd45fe4a7
